Popname,Year,Age,Area1,Area2,Sex,RefCode,Access,Type,Value,NoteCode1,NoteCode2,NoteCode3
RUS,1995,0,11,12,m,24,O,Vx,1.003414844,.,.,.
RUS,1995,1,11,12,m,24,O,Vx,1.003098749,.,.,.
RUS,1995,2,11,12,m,24,O,Vx,1.003776181,.,.,.
RUS,1995,3,11,12,m,24,O,Vx,1.003652047,.,.,.
RUS,1995,4,11,12,m,24,O,Vx,1.003455849,.,.,.
RUS,1995,5,11,12,m,24,O,Vx,1.003000807,.,.,.
RUS,1995,6,11,12,m,24,O,Vx,1.00271086,.,.,.
RUS,1995,7,11,12,m,24,O,Vx,1.002406683,.,.,.
RUS,1995,8,11,12,m,24,O,Vx,1.002433313,.,.,.
RUS,1995,9,11,12,m,24,O,Vx,1.002482896,.,.,.
RUS,1995,10,11,12,m,24,O,Vx,1.002364378,.,.,.
RUS,1995,11,11,12,m,24,O,Vx,1.002203234,.,.,.
RUS,1995,12,11,12,m,24,O,Vx,1.002305909,.,.,.
RUS,1995,13,11,12,m,24,O,Vx,1.002234099,.,.,.
RUS,1995,14,11,12,m,24,O,Vx,1.002208706,.,.,.
RUS,1995,15,11,12,m,24,O,Vx,1.002195864,.,.,.
RUS,1995,16,11,12,m,24,O,Vx,1.002029142,.,.,.
RUS,1995,17,11,12,m,24,O,Vx,1.002129566,.,.,.
RUS,1995,18,11,12,m,24,O,Vx,1.002586679,.,.,.
RUS,1995,19,11,12,m,24,O,Vx,1.002097512,.,.,.
RUS,1995,20,11,12,m,24,O,Vx,1.001844652,.,.,.
RUS,1995,21,11,12,m,24,O,Vx,1.002154175,.,.,.
RUS,1995,22,11,12,m,24,O,Vx,1.002325452,.,.,.
RUS,1995,23,11,12,m,24,O,Vx,1.002445688,.,.,.
RUS,1995,24,11,12,m,24,O,Vx,1.002027392,.,.,.
RUS,1995,25,11,12,m,24,O,Vx,1.001966765,.,.,.
RUS,1995,26,11,12,m,24,O,Vx,1.002340238,.,.,.
RUS,1995,27,11,12,m,24,O,Vx,1.002469513,.,.,.
RUS,1995,28,11,12,m,24,O,Vx,1.002454337,.,.,.
RUS,1995,29,11,12,m,24,O,Vx,1.002379658,.,.,.
RUS,1995,30,11,12,m,24,O,Vx,1.002423949,.,.,.
RUS,1995,31,11,12,m,24,O,Vx,1.002214221,.,.,.
RUS,1995,32,11,12,m,24,O,Vx,1.00205463,.,.,.
RUS,1995,33,11,12,m,24,O,Vx,1.001743036,.,.,.
RUS,1995,34,11,12,m,24,O,Vx,1.001866172,.,.,.
RUS,1995,35,11,12,m,24,O,Vx,1.001762999,.,.,.
RUS,1995,36,11,12,m,24,O,Vx,1.001771873,.,.,.
RUS,1995,37,11,12,m,24,O,Vx,1.001818361,.,.,.
RUS,1995,38,11,12,m,24,O,Vx,1.001551655,.,.,.
RUS,1995,39,11,12,m,24,O,Vx,1.001517079,.,.,.
RUS,1995,40,11,12,m,24,O,Vx,1.001325004,.,.,.
RUS,1995,41,11,12,m,24,O,Vx,1.001439544,.,.,.
RUS,1995,42,11,12,m,24,O,Vx,1.001295161,.,.,.
RUS,1995,43,11,12,m,24,O,Vx,1.00116633,.,.,.
RUS,1995,44,11,12,m,24,O,Vx,1.001216544,.,.,.
RUS,1995,45,11,12,m,24,O,Vx,1.000868714,.,.,.
RUS,1995,46,11,12,m,24,O,Vx,1.000853803,.,.,.
RUS,1995,47,11,12,m,24,O,Vx,1.00074868,.,.,.
RUS,1995,48,11,12,m,24,O,Vx,1.000573335,.,.,.
RUS,1995,49,11,12,m,24,O,Vx,1.000737886,.,.,.
RUS,1995,50,11,12,m,24,O,Vx,1.001258201,.,.,.
RUS,1995,51,11,12,m,24,O,Vx,1.001499066,.,.,.
RUS,1995,52,11,12,m,24,O,Vx,1.001370005,.,.,.
RUS,1995,53,11,12,m,24,O,Vx,1.000781749,.,.,.
RUS,1995,54,11,12,m,24,O,Vx,1.000878517,.,.,.
RUS,1995,55,11,12,m,24,O,Vx,1.000725323,.,.,.
RUS,1995,56,11,12,m,24,O,Vx,1.000824909,.,.,.
RUS,1995,57,11,12,m,24,O,Vx,1.000781166,.,.,.
RUS,1995,58,11,12,m,24,O,Vx,1.001070589,.,.,.
RUS,1995,59,11,12,m,24,O,Vx,1.001184873,.,.,.
RUS,1995,60,11,12,m,24,O,Vx,1.001483591,.,.,.
RUS,1995,61,11,12,m,24,O,Vx,1.001401137,.,.,.
RUS,1995,62,11,12,m,24,O,Vx,1.001166365,.,.,.
RUS,1995,63,11,12,m,24,O,Vx,1.000631896,.,.,.
RUS,1995,64,11,12,m,24,O,Vx,1.00091597,.,.,.
RUS,1995,65,11,12,m,24,O,Vx,1.000679343,.,.,.
RUS,1995,66,11,12,m,24,O,Vx,1.000779418,.,.,.
RUS,1995,67,11,12,m,24,O,Vx,1.000551872,.,.,.
RUS,1995,68,11,12,m,24,O,Vx,1.000624128,.,.,.
RUS,1995,69,11,12,m,24,O,Vx,1.000529593,.,.,.
RUS,1995,70,11,12,m,24,O,Vx,1.000656739,.,.,.
RUS,1995,71,11,12,m,24,O,Vx,1.000693224,.,.,.
RUS,1995,72,11,12,m,24,O,Vx,1.00084457,.,.,.
RUS,1995,73,11,12,m,24,O,Vx,1.000666249,.,.,.
RUS,1995,74,11,12,m,24,O,Vx,1.001266166,.,.,.
RUS,1995,75,11,12,m,24,O,Vx,1.00082927,.,.,.
RUS,1995,76,11,12,m,24,O,Vx,1.000880943,.,.,.
RUS,1995,77,11,12,m,24,O,Vx,1.001347321,.,.,.
RUS,1995,78,11,12,m,24,O,Vx,1.00095584,.,.,.
RUS,1995,79,11,12,m,24,O,Vx,1.000699809,.,.,.
RUS,1995,80,11,12,m,24,O,Vx,1.000930888,.,.,.
RUS,1995,81,11,12,m,24,O,Vx,1.000931182,.,.,.
RUS,1995,82,11,12,m,24,O,Vx,1.001169001,.,.,.
RUS,1995,83,11,12,m,24,O,Vx,1.000843788,.,.,.
RUS,1995,84,11,12,m,24,O,Vx,1.002327754,.,.,.
RUS,1995,85,11,12,m,24,O,Vx,1.001814521,.,.,.
RUS,1995,86,11,12,m,24,O,Vx,1.00222448,.,.,.
RUS,1995,87,11,12,m,24,O,Vx,1.002340611,.,.,.
RUS,1995,88,11,12,m,24,O,Vx,1.002354113,.,.,.
RUS,1995,89,11,12,m,24,O,Vx,1.004094905,.,.,.
RUS,1995,90,11,12,m,24,O,Vx,1.002987368,.,.,.
RUS,1995,91,11,12,m,24,O,Vx,1.00673174,.,.,.
RUS,1995,92,11,12,m,24,O,Vx,1.008610298,.,.,.
RUS,1995,93,11,12,m,24,O,Vx,1.008342603,.,.,.
RUS,1995,94,11,12,m,24,O,Vx,1.010146561,.,.,.
RUS,1995,95,11,12,m,24,O,Vx,1.016630513,.,.,.
RUS,1995,96,11,12,m,24,O,Vx,1.020985401,.,.,.
RUS,1995,97,11,12,m,24,O,Vx,1.03565365,.,.,.
RUS,1995,98,11,12,m,24,O,Vx,1.046641791,.,.,.
RUS,1995,99,11,12,m,24,O,Vx,1.054245283,.,.,.
RUS,1995,100,11,12,m,24,O,Vx,1.035411855,.,.,.
RUS,1995,101,11,12,m,24,O,Vx,1.035411855,.,.,.
RUS,1995,102,11,12,m,24,O,Vx,1.035411855,.,.,.
RUS,1995,103,11,12,m,24,O,Vx,1.035411855,.,.,.
RUS,1995,104,11,12,m,24,O,Vx,1.035411855,.,.,.
RUS,1995,105,11,12,m,24,O,Vx,1.035411855,.,.,.
RUS,1995,106,11,12,m,24,O,Vx,1.035411855,.,.,.
RUS,1995,107,11,12,m,24,O,Vx,1.035411855,.,.,.
RUS,1995,108,11,12,m,24,O,Vx,1.035411855,.,.,.
RUS,1995,109,11,12,m,24,O,Vx,1.035411855,.,.,.
RUS,1995,110,11,12,m,24,O,Vx,1.035411855,.,.,.
RUS,1995,0,11,12,f,24,O,Vx,1.003460809,.,.,.
RUS,1995,1,11,12,f,24,O,Vx,1.003287247,.,.,.
RUS,1995,2,11,12,f,24,O,Vx,1.004163595,.,.,.
RUS,1995,3,11,12,f,24,O,Vx,1.003681748,.,.,.
RUS,1995,4,11,12,f,24,O,Vx,1.003531702,.,.,.
RUS,1995,5,11,12,f,24,O,Vx,1.003208262,.,.,.
RUS,1995,6,11,12,f,24,O,Vx,1.002860659,.,.,.
RUS,1995,7,11,12,f,24,O,Vx,1.002671738,.,.,.
RUS,1995,8,11,12,f,24,O,Vx,1.002617638,.,.,.
RUS,1995,9,11,12,f,24,O,Vx,1.002576228,.,.,.
RUS,1995,10,11,12,f,24,O,Vx,1.002526966,.,.,.
RUS,1995,11,11,12,f,24,O,Vx,1.002364682,.,.,.
RUS,1995,12,11,12,f,24,O,Vx,1.002333171,.,.,.
RUS,1995,13,11,12,f,24,O,Vx,1.002384173,.,.,.
RUS,1995,14,11,12,f,24,O,Vx,1.002354145,.,.,.
RUS,1995,15,11,12,f,24,O,Vx,1.002346608,.,.,.
RUS,1995,16,11,12,f,24,O,Vx,1.002059117,.,.,.
RUS,1995,17,11,12,f,24,O,Vx,1.002185169,.,.,.
RUS,1995,18,11,12,f,24,O,Vx,1.002330678,.,.,.
RUS,1995,19,11,12,f,24,O,Vx,1.002337033,.,.,.
RUS,1995,20,11,12,f,24,O,Vx,1.002030767,.,.,.
RUS,1995,21,11,12,f,24,O,Vx,1.002013177,.,.,.
RUS,1995,22,11,12,f,24,O,Vx,1.00223397,.,.,.
RUS,1995,23,11,12,f,24,O,Vx,1.002368422,.,.,.
RUS,1995,24,11,12,f,24,O,Vx,1.002755896,.,.,.
RUS,1995,25,11,12,f,24,O,Vx,1.002937916,.,.,.
RUS,1995,26,11,12,f,24,O,Vx,1.002974926,.,.,.
RUS,1995,27,11,12,f,24,O,Vx,1.002825887,.,.,.
RUS,1995,28,11,12,f,24,O,Vx,1.002769476,.,.,.
RUS,1995,29,11,12,f,24,O,Vx,1.002856871,.,.,.
RUS,1995,30,11,12,f,24,O,Vx,1.002604277,.,.,.
RUS,1995,31,11,12,f,24,O,Vx,1.002353269,.,.,.
RUS,1995,32,11,12,f,24,O,Vx,1.002211441,.,.,.
RUS,1995,33,11,12,f,24,O,Vx,1.002124611,.,.,.
RUS,1995,34,11,12,f,24,O,Vx,1.001967353,.,.,.
RUS,1995,35,11,12,f,24,O,Vx,1.001964851,.,.,.
RUS,1995,36,11,12,f,24,O,Vx,1.001901716,.,.,.
RUS,1995,37,11,12,f,24,O,Vx,1.001780695,.,.,.
RUS,1995,38,11,12,f,24,O,Vx,1.001755693,.,.,.
RUS,1995,39,11,12,f,24,O,Vx,1.001526702,.,.,.
RUS,1995,40,11,12,f,24,O,Vx,1.001459898,.,.,.
RUS,1995,41,11,12,f,24,O,Vx,1.001400417,.,.,.
RUS,1995,42,11,12,f,24,O,Vx,1.001357005,.,.,.
RUS,1995,43,11,12,f,24,O,Vx,1.001179862,.,.,.
RUS,1995,44,11,12,f,24,O,Vx,1.001117642,.,.,.
RUS,1995,45,11,12,f,24,O,Vx,1.00090918,.,.,.
RUS,1995,46,11,12,f,24,O,Vx,1.000904929,.,.,.
RUS,1995,47,11,12,f,24,O,Vx,1.000730219,.,.,.
RUS,1995,48,11,12,f,24,O,Vx,1.000554933,.,.,.
RUS,1995,49,11,12,f,24,O,Vx,1.000690662,.,.,.
RUS,1995,50,11,12,f,24,O,Vx,1.001257674,.,.,.
RUS,1995,51,11,12,f,24,O,Vx,1.001562342,.,.,.
RUS,1995,52,11,12,f,24,O,Vx,1.00125202,.,.,.
RUS,1995,53,11,12,f,24,O,Vx,1.000751366,.,.,.
